"Season","Name","playerid","Month","Team","IP","TBF","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","ERA","w OBA","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG1","WHIP","BABIP","LOB%","x FIP","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2016","Chris Sale","10603","May","CHW","40.2","164","32","4","1","13","13","3","11","0","2","44","0.2119","0.274390243","0.311258278","2.8770","0.260384347744104","9.7377","2.4344","4.0000","0.6639","0.2683","0.0671","0.2012","0.2119","1.0574","0.2788","0.7843","3.53898063535479","2.90065894584302","1.051282051","0.245283018","0.386792452","0.367924528","0.179487179","0.076923076","0.024390243","0.000000000","0.4019","0.2804","0.3178","0.2243","0.5607","0.2150"
"2016","Chris Sale","10603","Jun","CHW","34.1","141","35","5","0","15","15","7","7","1","2","33","0.2652","0.312056737","0.469230769","3.9320","0.329309608680861","8.6505","1.8350","4.7143","1.8350","0.2340","0.0496","0.1844","0.2652","1.2233","0.3043","0.8480","3.66006860896444","4.66112495984302","1.117647058","0.272727272","0.383838383","0.343434343","0.029411764","0.205882352","0.000000000","0.000000000","0.4343","0.2525","0.3131","0.1111","0.5152","0.3737"
"2016","Chris Sale","10603","Jul","CHW","26.0","110","23","6","0","15","14","4","9","1","4","24","0.2371","0.330275229","0.427083333","4.8462","0.32721841721623","8.3077","3.1154","2.6667","1.3846","0.2182","0.0818","0.1364","0.2371","1.2308","0.2754","0.6908","4.33788432799853","4.80040653584302","1.416666666","0.183098591","0.478873239","0.338028169","0.125000000","0.166666666","0.029411764","0.500000000","0.4795","0.3151","0.2055","0.1644","0.4932","0.3425"
"2016","Chris Sale","10603","Aug","CHW","46.2","182","37","8","0","15","15","2","10","0","2","52","0.2176","0.275280898","0.307228915","2.8929","0.258606035722775","10.0286","1.9286","5.2000","0.3857","0.2857","0.0549","0.2308","0.2176","1.0071","0.3017","0.7359","3.43829830493032","2.24656102584302","0.734693877","0.241071428","0.321428571","0.437500000","0.102040816","0.040816326","0.055555555","0.166666666","0.3136","0.4492","0.2373","0.1949","0.5339","0.2712"
"2016","Chris Sale","10603","Sept/Oct","CHW","41.0","172","42","8","2","22","20","8","3","0","6","48","0.2577","0.296511627","0.481481481","4.3902","0.329493453682855","10.5366","0.6585","16.0000","1.7561","0.2791","0.0174","0.2616","0.2577","1.0976","0.3178","0.7286","3.12923449415986","4.00021891884302","1.341463414","0.157894736","0.482456140","0.359649122","0.024390243","0.195121951","0.036363636","1.000000000","0.4348","0.3304","0.2348","0.1217","0.4522","0.4261"
"2017","Chris Sale","10603","Mar/Apr","BOS","37.2","139","23","2","0","6","5","1","6","0","1","52","0.1742","0.217391304","0.215384615","1.1947","0.194624505613161","12.4248","1.4336","8.6667","0.2389","0.3741","0.0432","0.3309","0.1742","0.7699","0.2785","0.8392","2.32362404299314","1.29923425921387","1.137931034","0.215189873","0.417721518","0.367088607","0.103448275","0.034482758","0.060606060","0.000000000","0.4125","0.3000","0.2875","0.1750","0.5000","0.3250"
"2017","Chris Sale","10603","May","BOS","40.1","163","32","7","1","21","19","5","10","0","1","58","0.2105","0.263803680","0.375838926","4.2397","0.272306693477865","12.9422","2.2314","5.8000","1.1157","0.3558","0.0613","0.2945","0.2105","1.0413","0.3034","0.6111","2.86389363224639","2.71135833421387","0.850000000","0.204301075","0.365591397","0.430107526","0.100000000","0.125000000","0.058823529","1.000000000","0.4043","0.3617","0.2340","0.1383","0.5638","0.2979"
"2017","Chris Sale","10603","Jun","BOS","35.2","138","27","9","0","11","11","3","5","0","0","45","0.2030","0.233576642","0.340909090","2.7757","0.245577912696087","11.3551","1.2617","9.0000","0.7570","0.3261","0.0362","0.2899","0.2030","0.8972","0.2824","0.7554","2.70064781848802","2.14829484321387","0.939393939","0.264367816","0.356321839","0.379310344","0.121212121","0.090909090","0.000000000","0.000000000","0.3523","0.3523","0.2955","0.1477","0.6023","0.2500"
"2017","Chris Sale","10603","Jul","BOS","34.2","135","21","8","0","4","4","2","6","0","3","56","0.1667","0.222222222","0.277777777","1.0385","0.220639229262317","14.5384","1.5577","9.3333","0.5192","0.4148","0.0444","0.3704","0.1667","0.7788","0.2794","0.9559","2.70687413706178","1.45571825421387","0.538461538","0.130434782","0.304347826","0.565217391","0.205128205","0.051282051","0.047619047","0.000000000","0.3429","0.3571","0.3000","0.3000","0.3714","0.3286"
"2017","Chris Sale","10603","Aug","BOS","37.0","152","31","6","1","19","18","4","8","0","1","53","0.2168","0.263157894","0.356643356","4.3784","0.267530380503127","12.8919","1.9459","6.6250","0.9730","0.3487","0.0526","0.2961","0.2168","1.0541","0.3140","0.6105","2.75323501213177","2.42790996521387","1.000000000","0.181818181","0.409090909","0.409090909","0.027777777","0.111111111","0.138888888","0.000000000","0.3889","0.3556","0.2556","0.1556","0.6333","0.2111"
"2017","Chris Sale","10603","Sept/Oct","BOS","29.0","124","31","2","1","12","12","9","8","0","2","44","0.2719","0.330645161","0.543859649","3.7241","0.366784860049525","13.6552","2.4828","5.5000","2.7931","0.3548","0.0645","0.2903","0.2719","1.3448","0.3607","1.0000","2.50707895550235","5.19212245221387","1.500000000","0.214285714","0.471428571","0.314285714","0.045454545","0.409090909","0.151515151","0.000000000","0.4000","0.3857","0.2143","0.2286","0.3714","0.4000"
